generation, 1st activation, 1st dropout, 2nd activation, 2nd dropout, 3rd activation, score, accuracy
0,linear,0,linear,0,linear,7.18061158218384,0.3924
1,tanh,0.799189067573468,tanh,0.21454450672548,hard_sigmoid,nan,0.1896
2,relu,0.804444208586153,sigmoid,0.663144715141017,sigmoid,0.215887208345532,0.9367
3,selu,0.274709718520338,tanh,0.382140638028321,elu,7.39830013122559,0.4411
4,selu,0.78270844153739,elu,0.478395282676431,softmax,0.109277061621589,0.9687
5,sigmoid,0.616749310692106,elu,0.01529438843479,softplus,0.171157371350192,0.9539
6,relu,0.740422458778076,hard_sigmoid,0.607971611385842,softplus,0.153150961761922,0.9528
7,linear,0.848022701058838,relu,0.702791232203794,tanh,9.4509360458374,0.4733
8,linear,0,linear,0,linear,12.9315480438232,0.1658
9,exponential,0.014536791965988,elu,0.776630390059337,elu,1.43015376038551,0.8258
,,,,,,,
,,,,,,,
,"SORTEDELITES: [((((2, 2), 'selu', 0.7827084415373896, 'elu', 0.4783952826764306, 'softmax'), [0.10927706162158865, 0.9687]), 4), ((((2, 2), 'sigmoid', 0.6167493106921056, 'elu', 0.01529438843479003, 'softplus'), [0.17115737135019155, 0.9539]), 5), ((((2, 2), 'relu', 0.7404224587780764, 'hard_sigmoid', 0.6079716113858419, 'softplus'), [0.15315096176192164, 0.9528]), 6), ((((2, 2), 'relu', 0.8044442085861526, 'sigmoid', 0.6631447151410172, 'sigmoid'), [0.2158872083455324, 0.9367]), 2), ((((2, 2), 'exponential', 0.01453679196598745, 'elu', 0.7766303900593371, 'elu'), [1.4301537603855132, 0.8258]), 9), ((((2, 2), 'linear', 0.8480227010588381, 'relu', 0.7027912322037935, 'tanh'), [9.450936045837402, 0.4733]), 7), ((((2, 2), 'selu', 0.27470971852033754, 'tanh', 0.3821406380283212, 'elu'), [7.398300131225586, 0.4411]), 3), (([(2, 2), 'linear', 0.0, 'linear', 0.0, 'linear'], [7.180611582183838, 0.3924]), 0), ((((2, 2), 'tanh', 0.7991890675734677, 'tanh', 0.21454450672547964, 'hard_sigmoid'), [nan, 0.1896]), 1), (([(2, 2), 'linear', 0.0, 'linear', 0.0, 'linear'], [12.931548043823241, 0.1658]), 8)]",,,,,,
,"bestNetwork ((2, 2), 'selu', 0.7827084415373896, 'elu', 0.4783952826764306, 'softmax')",,,,,,
,"champion ((((2, 2), 'selu', 0.7827084415373896, 'elu', 0.4783952826764306, 'softmax'), [0.10927706162158865, 0.9687]), 4)",,,,,,
,"best network overall is  ((2, 2), 'selu', 0.7827084415373896, 'elu', 0.4783952826764306, 'softmax')",,,,,,
, with an accuracy of  0.9687,,,,,,
, and on generation  4,,,,,,
