generation, 1st_act, dropout, 2nd_act, score, accuracy
0,linear,0.0,linear,7.952142326298932,0.493766696349065
1,relu,0.6664791216014222,softmax,0.8425541393266441,0.8032056990204809
2,sigmoid,0.6708074374391975,softplus,0.8972341721331766,0.7827248441939468
3,softsign,0.10387625773541487,exponential,0.9417603092329478,0.782279608192342
4,softplus,0.5746657940251969,hard_sigmoid,nan,0.7025823686553874
5,softplus,0.5989286334363465,softplus,0.8394686588727249,0.8000890471950134
6,softplus,0.3601531583460448,hard_sigmoid,3.2658912356369005,0.5565449688334817
7,relu,0.9434215580903839,elu,13.221124111491447,0.37666963490650046
8,elu,0.17785418205145775,sigmoid,1.0096429540764935,0.7876224399462196
9,softsign,0.1585028339161585,softmax,0.9384814024183863,0.7836153161175423
10,tanh,0.6644964976959842,softmax,0.8925274864223952,0.7965271594475554
11,softsign,0.3966250632120709,softplus,0.8608650409633946,0.7956366874974218
12,elu,0.8850575134375593,softmax,0.8584531733529014,0.8014247551467518
13,sigmoid,0.5247201700924714,sigmoid,0.8656921048092184,0.788512911843277
14,softplus,0.4939280890281994,softplus,0.8354775069127206,0.802760463045414
15,tanh,0.24442887479182696,sigmoid,0.9220992735423685,0.7916295636687445
16,tanh,0.9430718845065837,softmax,0.9503972978328661,0.788512911843277
17,softsign,0.5507181064437259,softmax,0.8664701040154149,0.7951914515223549
18,softsign,0.027703576761567317,softmax,0.9564199740612814,0.7840605521456854
19,elu,0.46570333153256904,hard_sigmoid,nan,0.7235084594835263
